,KIC,Teff,eTeff,age,loage,upage,modmass,lomodmass,upmodmass,feh,efeh,modlogg,upmodlogg,lomodlogg,nus*,l_nus*,u_nus*,i,l_i,u_i,P,l_P,u_P,flag,hrclass,source
79,11081729,6548,82,1.8825,0.4152,0.5909,1.298,0.0494,0.0399,0.11,0.1,4.2449,0.0088,0.0099,3.3486592674298596,0.099750598547865,0.09824277555944999,82.93282368563102,5.853091792527173,4.914709531285314,3.4137858969147903,0.10052707448515101,0.10846710913105902,0,H,L
80,11133306,5982,82,5.14,0.88,0.86,1.0590000000000002,0.03,0.04,-0.02,0.1,4.314,0.004,0.006999999999999999,0.386591960971106,0.134437882895837,0.139823767797436,57.97349032884068,24.103803754336596,21.928186145499808,24.6283256453211,10.024896146606,14.319218363640301,0,MS,K
81,11253226,6642,77,1.5951,0.1278,0.0639,1.4082,0.0095,0.0209,-0.08,0.1,4.1734,0.0044,0.0055,2.55332579140515,0.11828961609079999,0.10721408107086301,49.29890789150278,4.353227404561993,6.264654556379499,3.4280791694586097,0.29390617870533303,0.420729369662372,0,H,L
82,11295426,5793,74,6.31,0.34,0.32,1.068,0.019,0.011000000000000001,0.12,0.07,4.28,0.003,0.003,0.22252941280069602,0.030565742758209,0.029361428096896,55.55629803667785,20.878350110210032,22.94224393793109,42.6149839179338,14.539682945924099,11.5009650693305,0,MS,K
83,11401755,5911,66,7.1,0.59,0.61,1.0590000000000002,0.021,0.03,-0.2,0.06,4.039,0.004,0.004,0.5539064109740379,0.101476887527411,0.08859259304379,64.64137562608418,19.49965353503923,17.394832969858022,18.475557084351898,4.34883217960942,4.68916238566321,0,MS,K
84,11772920,5180,180,10.665999999999999,2.9704,2.7309,0.8287,0.0399,0.0399,-0.09,0.18,4.5001,0.0077,0.0055,0.305113967718041,0.036333221586432,0.034442904794499,70.76151986167264,14.311409807666164,12.628585751594054,35.107418641844504,4.70657191516833,5.28266996745612,1,MS,L
85,11807274,6225,75,3.59,0.45,0.78,1.239,0.04,0.04,0.0,0.08,4.135,0.006999999999999999,0.009000000000000001,1.42313846101641,0.06949511673615599,0.067132248501029,76.8328596203381,9.424258067880384,8.843048386761264,7.86600895605305,0.527579124556413,0.493369886092617,0,MS,K
86,11853905,5781,76,6.71,0.67,0.77,1.117,0.028999999999999998,0.021,0.09,0.1,4.102,0.005,0.004,0.27155610038067,0.088662827837002,0.09445126450395301,54.730861275830975,28.759947301419594,24.548448812968786,34.004106470242895,17.1638981783202,18.869752517876,1,MS,K
87,11904151,5647,74,10.23,0.67,0.83,0.9179999999999999,0.019,0.011000000000000001,-0.15,0.1,4.343999999999999,0.003,0.003,0.24393385511080604,0.068542119058276,0.064945151570744,64.85377297450736,28.375638470809864,18.053842441037062,40.9449520618813,12.772054055980599,16.5401983716962,1,MS,K
88,12009504,6179,77,3.9746,0.4312,0.5749,1.1688,0.0399,0.019,-0.08,0.1,4.2108,0.0055,0.0066,1.1603110283290101,0.035494208613209,0.034052520607735996,71.34437020772718,5.685608179115558,8.004357705535831,9.44277850172235,0.520411381745552,0.543531425889355,0,MS,L
89,12069127,6276,77,2.0103,0.1278,0.1118,1.5678,0.019,0.0304,0.08,0.1,3.9116,0.0044,0.0055,0.5407986058532629,0.329467046405243,1.2574998978546101,16.62149318100981,6.2687884334492585,54.16283631553402,5.24279779436695,3.8722745508902903,39.9471514428427,1,H,L
90,12069424,5825,50,6.6735,0.7666,0.8145,1.0491,0.0209,0.019,0.1,0.03,4.2867,0.0066,0.0066,0.39759427008405,0.011532422434584,0.011340834244697999,44.73324335285968,2.915158621547203,6.217601941579764,20.5167162225305,1.1140951759017501,1.97584117059429,1,MS,L
91,12069449,5750,50,7.3922,0.9103,0.8943,0.9883,0.019,0.0209,0.05,0.02,4.3527,0.0055,0.0066,0.305456305370312,0.013045436625192,0.013208495260645,34.04896517443224,2.3664345982967108,2.9770572317786836,21.1788402087387,1.4748807310035401,1.8083435750263601,0,MS,L
