,KIC,n,l,Freq,e_Freq,E_Freq,Amp,e_Amp,E_Amp,Width,e_Width,E_Width,l_lnK,lnK,source,f,f_e,g,g_e,A,A_e,H,H_e,flag
89,2837475,25,0,1965.62,1.16,1.11,2.47,0.1,0.15,8.52,1.14,0.93,>,6.0,L,1963.1296905930767,0.8264507972492235,8.684481351985973,0.6344878731137229,2.4672258306953827,0.14905463730949534,0.4457999395685503,0.054560430650105636,
90,2837475,25,1,2000.59,0.7,0.61,,,,,,,,4.96,L,2000.2139192232873,0.4674970240927903,8.729049712402052,0.6277272924278697,3.305405829512692,0.09499537906756558,0.7955589192910786,0.06395343032054261,
91,2837475,25,2,2037.36,1.73,1.85,,,,,,,,1.98,L,2037.6034636693116,1.1013240340402086,8.986780798596655,0.6945494415901047,2.2199557482061327,0.1460798529115839,0.34914465601013805,0.05467348158472281,
92,2837475,26,0,2042.05,2.02,2.06,2.09,0.1,0.17,8.16,1.33,1.8,,4.98,L,2039.4201380316954,1.1053564934584152,9.092041682365437,0.693129402758519,2.072329548921136,0.14995053298400954,0.3003800314189373,0.043580655930971234,
93,2837475,26,1,2074.98,0.94,1.29,,,,,,,,4.79,L,2076.3966139789773,0.6533552956176192,9.353623479873718,0.6944208491479741,2.9582394248090926,0.10215123760952313,0.5951326133394488,0.052621573582249885,
94,2837475,26,2,2113.08,1.91,1.94,,,,,,,,0.53,L,2112.6590218217175,1.350947922958161,9.379709494305853,0.7629827631952679,1.8827968270003086,0.1475741954709926,0.2411195181637208,0.04215807353484418,
95,2837475,27,0,2117.22,0.98,1.2,1.85,0.13,0.14,9.5,2.85,2.01,>,6.0,L,2118.0889252289094,0.7518531758489673,9.354517227502573,0.752951396146818,1.8886616249969665,0.13974599905472102,0.24338693346442408,0.03802034562909643,
96,2837475,27,1,2157.59,1.13,0.95,,,,,,,,4.0,L,2155.7559435212424,0.7781616991652526,9.77532811179453,0.8087490726640569,2.4342673498811793,0.10668305752531695,0.38641794850860123,0.04186862721505251,
97,2837475,27,2,2190.1,1.99,2.26,,,,,,,,0.05,L,2190.053278934833,1.6484466546958434,10.015849784492122,0.8469685246610407,1.6873596790309104,0.14997867630801257,0.18102972019179725,0.03568912152191833,
98,2837475,28,0,2194.76,0.98,1.18,1.51,0.11,0.1,7.8,1.53,1.68,,3.71,L,2194.7793859658004,0.952860161536217,10.033697372996922,0.8293454492521121,1.678740802595466,0.14790048344965911,0.17859257383141294,0.03295699296178267,
